PID,visit,session,file_name
3900001,1,1,t1_structural
3900004,1,1,t1_structural
3900005,1,1,t1_structural
3900006,1,1,t1_structural
3900007,1,1,t1_structural
3900008,1,1,t1_structural
3900010,1,1,t1_structural
3900012,1,1,t1_structural
3900013,1,1,t1_structural
3900014,1,1,t1_structural
3900015,1,1,t1_structural
3900016,1,1,t1_structural
3900017,1,1,t1_structural
3900018,1,1,t1_structural
3900019,1,1,t1_structural
3900020,1,1,t1_structural
3900021,1,1,t1_structural
3900022,1,1,t1_structural
3900024,1,1,t1_structural
3900025,1,1,t1_structural
3900026,1,1,t1_structural
3900027,1,1,t1_structural
3900028,1,1,t1_structural
3900029,1,1,t1_structural
3900031,1,1,t1_structural
3900033,1,1,t1_structural
3900034,1,1,t1_structural
3900035,1,1,t1_structural
3900036,1,1,t1_structural
3900037,1,1,t1_structural
3900038,1,1,t1_structural
3900039,1,1,t1_structural
3900041,1,1,t1_structural
3900042,1,1,t1_structural
3900043,1,1,t1_structural
3900044,1,1,t1_structural
3900045,1,1,t1_structural
3900046,1,1,t1_structural
3900047,1,1,t1_structural
3900048,1,1,t1_structural
3900049,1,1,t1_structural
3900050,1,1,t1_structural
3900052,1,1,t1_structural
3900053,1,1,t1_structural
3900054,1,1,t1_structural
3900055,1,1,t1_structural
3900056,1,1,t1_structural
3900057,1,1,t1_structural
3900058,1,1,t1_structural
3900059,1,1,t1_structural
3900061,1,1,t1_structural
3900062,1,1,t1_structural
3900063,1,1,t1_structural
3900064,1,1,t1_structural
3900065,1,1,t1_structural
3900067,1,1,t1_structural
3900068,1,1,t1_structural
3900069,1,1,t1_structural
3900070,1,1,t1_structural
3900071,1,1,t1_structural
3900072,1,1,t1_structural
3900073,1,1,t1_structural
3900074,1,1,t1_structural
3900075,1,1,t1_structural
3900076,1,1,t1_structural
3900077,1,1,t1_structural
3900078,1,1,t1_structural
3900079,1,1,t1_structural
3900080,1,1,t1_structural
3900081,1,1,t1_structural
3900082,1,1,t1_structural
3900083,1,1,t1_structural
3900084,1,1,t1_structural
3900085,1,1,t1_structural
3900087,1,1,t1_structural
3900088,1,1,t1_structural
3900089,1,1,t1_structural
3900092,1,1,t1_structural
3900094,1,1,t1_structural
3900095,1,1,t1_structural
3900096,1,1,t1_structural
3900097,1,1,t1_structural
3900100,1,1,t1_structural
3900102,1,1,t1_structural
3900103,1,1,t1_structural
3900105,1,1,t1_structural
3900108,1,1,t1_structural
3900109,1,1,t1_structural
3900110,1,1,t1_structural
3900111,1,1,t1_structural
3900112,1,1,t1_structural
3900113,1,1,t1_structural
3900114,1,1,t1_structural
3900115,1,1,t1_structural
3900116,1,1,t1_structural
3900119,1,1,t1_structural
3900121,1,1,t1_structural
3900122,1,1,t1_structural
3900123,1,1,t1_structural
3900125,1,1,t1_structural
3900126,1,1,t1_structural
3900127,1,1,t1_structural
3900128,1,1,t1_structural
3900133,1,1,t1_structural
3900135,1,1,t1_structural
3900136,1,1,t1_structural
3900137,1,1,t1_structural
3900138,1,1,t1_structural
3900139,1,1,t1_structural
3900140,1,1,t1_structural
3900141,1,1,t1_structural
3900142,1,1,t1_structural
3900143,1,1,t1_structural
3900146,1,1,t1_structural
3900147,1,1,t1_structural
3900148,1,1,t1_structural
3900149,1,1,t1_structural
3900150,1,1,t1_structural
3900151,1,1,t1_structural
3900152,1,1,t1_structural
3900153,1,1,t1_structural
3900154,1,1,t1_structural
3900155,1,1,t1_structural
3900156,1,1,t1_structural
3900157,1,1,t1_structural
3900158,1,1,t1_structural
3900159,1,1,t1_structural
3900160,1,1,t1_structural
3900162,1,1,t1_structural
3900163,1,1,t1_structural
3900164,1,1,t1_structural
3900165,1,1,t1_structural
3900166,1,1,t1_structural
3900167,1,1,t1_structural
3900168,1,1,t1_structural
3900169,1,1,t1_structural
3900170,1,1,t1_structural
3900171,1,1,t1_structural
3900175,1,1,t1_structural
3900176,1,1,t1_structural
3900177,1,1,t1_structural
3900180,1,1,t1_structural
3900182,1,1,t1_structural
3900183,1,1,t1_structural
3900184,1,1,t1_structural
3900185,1,1,t1_structural
3900186,1,1,t1_structural
3900187,1,1,t1_structural
3900189,1,1,t1_structural
3900190,1,1,t1_structural
3900192,1,1,t1_structural
3900196,1,1,t1_structural
3900197,1,1,t1_structural
3900198,1,1,t1_structural
3900199,1,1,t1_structural
3900200,1,1,t1_structural
3900201,1,1,t1_structural
3900202,1,1,t1_structural
3900203,1,1,t1_structural
3900204,1,1,t1_structural
3900205,1,1,t1_structural
3900206,1,1,t1_structural
3900209,1,1,t1_structural
3900210,1,1,t1_structural
3900211,1,1,t1_structural
3900212,1,1,t1_structural
3900213,1,1,t1_structural
3900214,1,1,t1_structural
3900216,1,1,t1_structural
3900217,1,1,t1_structural
3900219,1,1,t1_structural
3900221,1,1,t1_structural
3900222,1,1,t1_structural
3900223,1,1,t1_structural
3900224,1,1,t1_structural
3900226,1,1,t1_structural
3900228,1,1,t1_structural
3900229,1,1,t1_structural
3900233,1,1,t1_structural
3900236,1,1,t1_structural
3900237,1,1,t1_structural
3900238,1,1,t1_structural
3900239,1,1,t1_structural
3900240,1,1,t1_structural
3900241,1,1,t1_structural
3900242,1,1,t1_structural
3900243,1,1,t1_structural
3900244,1,1,t1_structural
3900245,1,1,t1_structural
3900246,1,1,t1_structural
3900247,1,1,t1_structural
3900248,1,1,t1_structural
3900250,1,1,t1_structural
3900253,1,1,t1_structural
3900254,1,1,t1_structural
3900255,1,1,t1_structural
3900261,1,1,t1_structural
3900262,1,1,t1_structural
3900264,1,1,t1_structural
3900268,1,1,t1_structural
3900272,1,1,t1_structural
3900274,1,1,t1_structural
3900275,1,1,t1_structural
3900277,1,1,t1_structural
3900280,1,1,t1_structural
3900282,1,1,t1_structural
